Text,Label
"Great job!",true
"Terrible service.",false
"Excellent work!",true
"Not happy with the results.",false
"Good",true
"bad experience",false
"Absolutely fantastic!",true
"Very disappointing.",false
"I loved the experience.",true
"Would not recommend.",false
"Super helpful and friendly.",true
"Rude staff and poor service.",false
"Everything was perfect.",true
"Never coming back again.",false
"Impressed with the quality.",true
"It was a waste of time.",false
"Highly recommend this!",true
"Completely unacceptable behavior.",false
"Fast and reliable.",true
"The worst I've encountered.",false
"Very satisfied with the results.",true
"Totally unprofessional.",false
"Nice and clean.",true
"Too slow and unresponsive.",false
"Friendly and efficient staff.",true
"Nothing went right.",false
"Quick and easy process.",true
"I hated every moment.",false
"Wonderful support team.",true
"They messed everything up.",false
"Top-notch quality.",true
"Extremely dissatisfied.",false
"Pleasant experience overall.",true
"Service was a disaster.",false
"Truly enjoyed it.",true
"It took forever and nothing worked.",false
"Couldn't be happier!",true
"Disgusting food and dirty place.",false
"Smooth transaction.",true
"Full of errors and delays.",false
"Very courteous staff.",true
"The product broke immediately.",false
"Exceeded my expectations!",true
"Customer service ignored me.",false
"Absolutely love it!",true
"I regret using their service.",false
"Everything was handled professionally.",true
"It was a total mess.",false
"Delighted with the outcome.",true
"Terribly managed.",false
"Very quick delivery!",true
"Completely unsatisfied.",false
"Would definitely return.",true
"Terrible attitude from the staff.",false
"A joy to use!",true
"The worst decision ever.",false